date,warehouse,category,sku_id,product_name,brand,units_sold,revenue_inr,temperature_c,festival_flag,sale_flag,return_units,inventory_on_hand,days_to_stockout,customer_segment,avg_rating
2025-01-01,Mumbai_Central,Women_Ethnic,SKU001,Silk Saree - Banarasi,Fabindia,145,1015000,28.5,0,1,12,234,8,Premium,4.6
2025-01-01,Mumbai_Central,Women_Western,SKU002,Floral Maxi Dress,ONLY,89,133500,28.5,0,1,7,156,12,Young_Professional,4.3
2025-01-01,Mumbai_Central,Women_Footwear,SKU003,Block Heels - Nude,Steve Madden,67,268000,28.5,0,1,4,89,9,Premium,4.5
2025-01-01,Mumbai_Central,Men_Casual,SKU004,Slim Fit Chinos - Navy,Arrow,112,224000,28.5,0,1,9,178,11,Professional,4.4
2025-01-01,Mumbai_Central,Accessories,SKU005,Leather Tote Bag,Hidesign,34,170000,28.5,0,1,2,45,10,Premium,4.7
2025-01-01,Delhi_Gurgaon,Women_Ethnic,SKU001,Silk Saree - Banarasi,Fabindia,178,1246000,18.2,0,1,15,289,7,Premium,4.6
2025-01-01,Delhi_Gurgaon,Women_Western,SKU002,Floral Maxi Dress,ONLY,56,84000,18.2,0,1,5,98,15,Young_Professional,4.3
2025-01-01,Delhi_Gurgaon,Women_Footwear,SKU003,Block Heels - Nude,Steve Madden,45,180000,18.2,0,1,3,67,12,Premium,4.5
2025-01-01,Delhi_Gurgaon,Men_Casual,SKU004,Slim Fit Chinos - Navy,Arrow,134,268000,18.2,0,1,11,198,10,Professional,4.4
2025-01-01,Delhi_Gurgaon,Accessories,SKU005,Leather Tote Bag,Hidesign,41,205000,18.2,0,1,3,52,9,Premium,4.7
2025-01-01,Bangalore_Whitefield,Women_Ethnic,SKU001,Silk Saree - Banarasi,Fabindia,98,686000,26.8,0,1,8,167,11,Premium,4.6
2025-01-01,Bangalore_Whitefield,Women_Western,SKU002,Floral Maxi Dress,ONLY,123,184500,26.8,0,1,10,189,10,Young_Professional,4.3
2025-01-01,Bangalore_Whitefield,Women_Footwear,SKU003,Block Heels - Nude,Steve Madden,78,312000,26.8,0,1,6,112,9,Premium,4.5
2025-01-01,Bangalore_Whitefield,Men_Casual,SKU004,Slim Fit Chinos - Navy,Arrow,89,178000,26.8,0,1,7,145,13,Professional,4.4
2025-01-01,Bangalore_Whitefield,Accessories,SKU005,Leather Tote Bag,Hidesign,56,280000,26.8,0,1,4,78,10,Premium,4.7
2025-01-02,Mumbai_Central,Women_Ethnic,SKU006,Anarkali Kurta Set,W,234,351000,29.1,0,1,19,312,6,Mass_Premium,4.2
2025-01-02,Mumbai_Central,Women_Western,SKU007,Blazer - Black Formal,Vero Moda,67,200100,29.1,0,1,5,89,11,Professional,4.4
2025-01-02,Mumbai_Central,Women_Footwear,SKU008,White Sneakers,Puma,189,283500,29.1,0,1,15,234,8,Young_Professional,4.5
2025-01-02,Mumbai_Central,Men_Casual,SKU009,Printed T-Shirt,Roadster,312,187200,29.1,0,1,25,456,10,Value,4.1
2025-01-02,Mumbai_Central,Accessories,SKU010,Silver Oxidized Earrings,Pipa Bella,145,72500,29.1,0,1,12,189,9,Young_Professional,4.3
2025-01-02,Delhi_Gurgaon,Women_Ethnic,SKU006,Anarkali Kurta Set,W,289,433500,17.8,0,1,23,378,5,Mass_Premium,4.2
2025-01-02,Delhi_Gurgaon,Women_Western,SKU007,Blazer - Black Formal,Vero Moda,78,233400,17.8,0,1,6,102,10,Professional,4.4
